;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;
101DOMAIN-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;185;174;231;179;159;195;169;161;163;200;258;263;180;195;261;252;294;238;181;188;184;254;232;209;203;221;242;297;535;796;947;682;1320;773;896;395;454;351;355;281;245;162;157;176;148;160;169;162;136;125;136;182;135;126;133;119;134;114;103;118;
AGAVA-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;880;1687;1568;760;576;751;1555;1586;841;806;672;722;856;830;881;857;716;919;1178;1291;1370;1030;869;958;1003;1050;1005;922;870;1131;1113;1035;897;867;883;909;952;1078;1118;956;951;1129;1186;1044;808;740;823;845;849;998;945;842;788;1013;979;949;833;776;836;798;907;1178;1053;961;972;1066;1270;1503;1096;1031;940;1195;1018;1100;1164;
ARDIS-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;497;456;142;1535;1307;1561;2201;1717;1374;1931;1165;1187;1212;1216;1516;2398;1584;1681;4695;1559;5337;1982;3286;3059;6115;3808;
AXELNAME-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;188;193;334;395;505;442;421;724;816;738;756;843;461;686;694;1200;1251;865;972;1277;722;1240;1618;1648;1525;1128;1309;1394;1000;662;
BEELINE-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;48;61;71;66;46;47;41;36;61;38;32;21;30;36;34;25;31;35;35;41;16;31;29;25;23;31;13;30;20;22;23;14;26;20;10;9;5;17;16;17;10;8;9;8;12;4;11;15;3;7;18;6;6;2;11;5;5;4;6;
CARAVAN-REG-RIPN;183;156;176;156;176;166;117;140;123;128;138;131;99;124;90;94;137;86;79;82;91;105;143;74;68;108;63;87;71;68;44;75;52;52;58;69;66;49;52;58;50;66;30;46;33;27;49;37;64;29;22;41;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CC-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2886;12244;12783;12365;5410;12166;9505;10655;11911;12866;12907;11409;12529;5868;8653;14946;17393;25781;24577;14777;24696;20285;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CCZ-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CENTRALREG-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;60;52;28;62;80;122;77;326;609;903;1411;1005;984;1354;688;391;361;76;273;150;381;371;251;259;284;469;1472;627;682;481;116;99;51;300;52;228;465;266;99;97;363;439;402;413;421;
CENTROHOST-REG-RIPN;4554;4648;4578;4033;4261;4576;3336;3406;3662;5135;4708;5632;5511;5595;6532;4533;5277;3967;3849;4947;4376;3881;4258;4077;3537;4232;3676;4146;2380;1095;547;859;387;444;540;475;417;312;324;235;507;395;365;241;158;219;258;153;217;446;355;321;257;156;158;176;619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CT-REG-RIPN;0;688;594;438;570;772;400;205;195;235;592;916;1127;1223;1430;1737;1924;2330;2415;2314;2509;2580;3228;2641;2754;2450;2459;2546;2828;2185;1401;1423;994;911;921;963;913;587;79;0;0;0;0;0;0;0;0;0;80;0;33;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;65;45;0;0;0;0;0;0;0;0;0;0;0;0;
DEMOS-REG-RIPN;16;19;60;9;27;23;15;7;15;16;13;16;8;7;8;13;8;7;17;13;10;14;13;9;4;12;9;10;10;8;10;10;6;9;6;10;13;13;11;21;6;7;3;8;6;6;5;8;5;1;8;4;7;3;2;9;4;12;4;7;5;12;4;6;5;2;2;3;4;3;6;3;6;4;9;1;2;7;3;2;3;5;8;3;2;4;4;0;12;6;3;2;1;8;1;2;1;
DOMENUS-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;68;553;594;667;583;626;681;665;593;556;591;658;729;996;790;959;949;588;574;462;484;594;509;615;697;686;692;843;847;673;686;629;766;886;899;1082;865;875;1031;1222;967;897;703;804;973;1072;1362;1255;877;861;1124;1115;1172;840;919;902;890;968;967;991;890;848;1086;1008;869;812;871;830;1009;1088;1222;1036;963;1021;1134;1296;1129;931;985;782;790;857;1025;897;
ELVIS-REG-RIPN;12;10;15;14;24;16;9;8;15;9;10;16;11;21;12;22;27;27;9;7;23;10;16;10;12;14;7;7;14;12;11;18;11;11;14;11;16;9;6;4;11;15;4;4;6;7;8;7;6;4;3;4;3;6;6;8;5;5;1;12;4;2;4;3;12;8;9;4;5;6;5;6;0;0;1;2;3;6;3;2;4;3;2;2;5;2;0;1;3;1;1;2;1;3;0;2;1;
FREENET-REG-RIPN;5;5;6;3;6;5;10;5;7;13;2;2;1;7;4;4;2;3;3;7;2;1;3;2;8;3;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAUNET-REG-RIPN;2770;4074;6133;8917;11988;19653;15734;13212;16238;12672;15096;13264;13278;11721;11257;11774;13428;12714;12245;13249;15368;13448;13127;11234;10328;9330;8605;10030;10276;11663;13684;8264;10262;14623;11216;14096;14135;10573;9951;8654;8504;8164;8252;7648;7471;6715;6375;6920;8864;5551;6595;8441;8938;7501;7193;6686;6318;5790;5270;6508;6419;5714;6490;5331;5975;6141;3799;3853;4188;6518;4565;4179;3856;3269;3636;3265;3842;3384;2887;2678;3360;2743;3265;3089;2929;2878;3896;3114;4370;4432;3896;3260;2878;2668;3162;3322;3176;
NETFOX-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;342;193;153;150;168;128;271;400;221;388;391;306;340;610;830;740;734;496;808;777;1540;1244;1118;925;782;504;584;609;628;736;934;1073;929;1030;933;1005;721;572;643;654;830;911;905;736;534;727;822;686;481;475;609;490;446;574;436;577;172;136;152;124;128;113;128;94;85;121;107;
NETHOUSE-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2491;
PN-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;3;
R01-REG-RIPN;8421;7762;7074;7082;8036;10743;9941;8280;8720;7798;9344;9815;8767;10929;9834;9236;11194;12067;11374;12761;13041;16692;18555;19242;19641;19918;18263;19482;25537;23551;23169;23303;22874;23877;27204;26146;31217;32408;25176;26395;32771;27915;27741;26729;27472;32107;31391;33890;29920;25574;35532;29828;32332;34098;30436;20712;21614;24145;24215;29353;26037;25280;31110;30519;28898;26804;26131;22798;23452;22787;28012;28554;26078;23084;22747;22984;23751;24034;21051;19459;19671;21637;23304;24336;22966;22981;21054;22526;27515;25502;21985;21298;23386;26451;27189;30875;28689;
REALTIME-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;4;4;6;23;
REGFORMAT-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;69;51;51;58;38;31;36;53;42;32;19;26;21;16;24;16;18;5;13;9;13;10;13;13;9;11;12;8;4;10;7;6;113;6;7;18;10;14;10;12;
REGGI-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;1158;966;992;1027;1237;1109;1270;1214;1471;1517;1764;1693;1313;1293;1583;1728;1887;1918;2236;1934;2748;2861;3190;3027;2475;2444;2745;3219;3637;4079;4446;4032;4295;3757;4044;3586;2942;2291;2475;2236;1928;2504;2430;2091;2169;2004;0;0;0;0;4;0;0;174;0;0;0;0;0;0;1;0;0;3;0;0;0;
REGHOST-REG-RIPN;0;0;0;0;0;3;11;7;10;10;10;7;9;6;4;6;8;31;5;5;6;5;26;1;10;8;5;9;6;4;3;4;2;1;1;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
REGISTR1-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;7;15;4;10;7;3;1;16;10;1;9;8;7;
REGISTRANT-REG-RIPN;0;0;0;0;0;0;0;0;124;551;837;4321;1646;1844;1089;2242;2717;2006;1725;875;1711;1468;1142;1200;1233;2406;1161;1292;1487;3002;1551;1148;2062;1099;1262;1306;1112;962;964;1562;1797;1530;1526;1363;1346;1565;1515;1586;1524;1417;1516;1629;1756;1593;1279;1163;1243;1200;1405;1770;1797;1481;1457;1730;2047;1828;1517;1550;1708;1681;1816;1903;1919;1725;1748;2046;1896;1894;1541;1460;1526;1468;1984;2883;2020;1774;2065;2039;2227;1954;1640;1766;1646;1577;1817;1844;217;
REGISTRATOR-REG-RIPN;3156;2983;2836;3354;3186;3590;3071;2761;3657;3054;3147;3522;3286;3491;2940;3470;4842;4380;4091;4093;3938;4579;4828;4865;4520;4541;4512;4577;5614;5276;3996;3773;3578;3733;4388;4467;5374;4274;3751;4700;5116;4685;3957;3799;3362;4046;4053;4340;4385;3688;3733;4364;4536;4010;3398;3156;3230;3263;3763;4071;4105;52887;3263;3918;4231;3645;2899;2977;3130;3208;3484;3602;3434;3292;2998;3133;3442;3214;2619;2470;2738;2822;3106;3008;2699;2484;1931;1481;1843;1764;1252;1331;1297;1122;1344;1434;1202;
REGRU-REG-RIPN;5648;10927;15709;13862;12600;16753;15197;14314;11714;14745;13425;16091;15899;16562;15273;17911;21486;23171;24736;26074;29132;30229;38682;27012;27532;26630;27272;31203;38083;31069;25777;25931;25156;25432;26583;27749;29040;28385;28408;31965;35532;30237;29082;27504;31061;37247;38466;38899;39785;39623;44536;49067;54606;46742;46148;44588;46903;53679;58417;68989;69468;62899;64647;65991;68247;71077;62902;59776;70215;76012;64795;70110;64247;60961;61284;64883;62207;58229;50909;48435;49431;47343;52826;55387;54154;52254;55010;57212;65211;65358;53061;58278;63459;61186;69307;75607;69163;
REGTIME-REG-RIPN;7337;4274;4207;3332;3418;22506;6865;6915;7736;9391;8294;9188;9362;9456;8731;9103;11085;11512;11462;10816;12265;11708;13069;12076;11748;11965;11145;10455;11406;9248;10301;11729;10641;8204;8923;9130;9528;9618;9409;10032;11140;10072;9134;8686;8213;9454;9921;10724;9297;9035;9999;10270;10403;9070;8478;7905;8108;9067;8711;10784;9893;9321;10222;11276;11586;10558;8945;8755;9748;8946;9212;9815;9917;9445;8646;9192;9764;9198;8113;8770;7722;7471;8244;8728;7846;7467;8029;8283;9122;8742;6879;6709;6973;6887;6568;7784;6930;
RELCOM-REG-RIPN;0;0;0;0;0;0;2;3;9;4;7;8;1;2;2;4;3;4;0;1;5;0;4;0;4;8;3;0;4;0;2;1;0;0;0;1;2;3;0;8;2;2;0;1;0;1;3;0;0;1;0;0;2;1;1;1;0;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RTCOMM-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;3;0;0;0;0;3;14;0;1;2;1;6;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;
